id,question,choices,prompt,response,ground_truth,correct,response_time
9-888,Herbivores contribute to the same type of plants they eat when:,"['they drink', 'they eat  animals', 'they trample them', 'they die']","Question: Herbivores contribute to the same type of plants they eat when:
Choices:
A: they drink
B: they eat  animals
C: they trample them
D: they die
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",D,False,25.679627
150,What converts electrical energy into light energy in a light bulb?,"['the light switch', 'the glass bulb', 'the metal filament', 'none']","Question: What converts electrical energy into light energy in a light bulb?
Choices:
A: the light switch
B: the glass bulb
C: the metal filament
D: none
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is C.

The metal",C,False,27.743544
9-101,"A person wants to turn on their fan to cool down their room. In order to do this, they will have to","['plug it in', 'spin a wire', 'make some noise', 'turn it off']","Question: A person wants to turn on their fan to cool down their room. In order to do this, they will have to
Choices:
A: plug it in
B: spin a wire
C: make some noise
D: turn it off
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The fan",A,False,26.381041
9-1111,A river can disappear over a period of time?,"['this is uncertain', 'this is sure', 'all of these', 'maybe']","Question: A river can disappear over a period of time?
Choices:
A: this is uncertain
B: this is sure
C: all of these
D: maybe
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The river can",B,False,25.455597
8-235,"A temperature in the negatives during the night got slightly less negative during the day, which means it got more","['cold', 'positive', 'negative', 'unpredictable']","Question: A temperature in the negatives during the night got slightly less negative during the day, which means it got more
Choices:
A: cold
B: positive
C: negative
D: unpredictable
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The temperature is",B,False,25.963425
7-494,Corn is eaten by,"['homo sapiens and frogs', 'people and jungle monkeys', 'homo sapiens and deer', 'deer and Bengal tigers']","Question: Corn is eaten by
Choices:
A: homo sapiens and frogs
B: people and jungle monkeys
C: homo sapiens and deer
D: deer and Bengal tigers
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

The answer is A",C,False,26.448236
1456,What is natural gas?,"['a way to gain some warmth by combustion', 'warming up by sunlight', 'slowly heating to a boiling point', 'burning a high fever']","Question: What is natural gas?
Choices:
A: a way to gain some warmth by combustion
B: warming up by sunlight
C: slowly heating to a boiling point
D: burning a high fever
Which option (A, B, C, or D) is correct?

Answer:","A

\begin{blockquote}",A,True,26.139636
1723,Decomposition,"['can make dead organisms rise anew like a phoenix', 'is a process completed by predators', 'can act as a fertilizer for wild flowers', 'is extremely detrimental to the surrounding flora']","Question: Decomposition
Choices:
A: can make dead organisms rise anew like a phoenix
B: is a process completed by predators
C: can act as a fertilizer for wild flowers
D: is extremely detrimental to the surrounding flora
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

Comment:",C,False,26.90213
1275,Sunlight,"['makes car steering wheels hard to handle in the summer', 'means your pets need sweaters when outdoors', 'causes ice to refreeze', 'cools down the water in local ponds']","Question: Sunlight
Choices:
A: makes car steering wheels hard to handle in the summer
B: means your pets need sweaters when outdoors
C: causes ice to refreeze
D: cools down the water in local ponds
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",A,True,26.466974
1083,Science fact: a cavern is formed by carbonic acid in groundwater seeping through rock and dissolving,"['sedimentary rock which is  composed mainly of skeletal fragments of marine organisms such as coral, forams and molluscs,', 'metamorphic rocks that are formed under the surface of the earth from the metamorphosis,', 'igneous rocks which are formed when magma  cools and hardens or', 'artist who play the music genre called rock and roll.']","Question: Science fact: a cavern is formed by carbonic acid in groundwater seeping through rock and dissolving
Choices:
A: sedimentary rock which is  composed mainly of skeletal fragments of marine organisms such as coral, forams and molluscs,
B: metamorphic rocks that are formed under the surface of the earth from the metamorphosis,
C: igneous rocks which are formed when magma  cools and hardens or
D: artist who play the music genre called rock and roll.
Which option (A, B, C, or D) is correct?

Answer:",A. sedimentary rock which is composed mainly,A,True,30.460358
239,Deer entered the city,"['to look for people', 'less food in the wilderness', 'because coyotes chased them', 'they have become confused']","Question: Deer entered the city
Choices:
A: to look for people
B: less food in the wilderness
C: because coyotes chased them
D: they have become confused
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to EL",B,False,25.71773
9-1105,the hourly totals of sunshine are directly connect to,"['tides', 'seasons', 'altitude', 'weather']","Question: the hourly totals of sunshine are directly connect to
Choices:
A: tides
B: seasons
C: altitude
D: weather
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to Physics",B,False,25.331126
9-277,Remora fish,"['attach themselves to boats like barnacles', ""act as a support system during a shark's reproduction cycle"", 'are exclusively kelp and seaweed eaters', ""act as a clean up crew for a shark's crumbs""]","Question: Remora fish
Choices:
A: attach themselves to boats like barnacles
B: act as a support system during a shark's reproduction cycle
C: are exclusively kelp and seaweed eaters
D: act as a clean up crew for a shark's crumbs
Which option (A, B, C, or D) is correct?

Answer:",A. attach themselves to boats like barnacles,D,False,27.177341
9-59,A plant root growing into rock cracks is an example of what?,"['boiling', 'warm weather', 'evaporation', 'abrasion']","Question: A plant root growing into rock cracks is an example of what?
Choices:
A: boiling
B: warm weather
C: evaporation
D: abrasion
Which option (A, B, C, or D) is correct?

Answer:","D

The correct answer is D.",D,True,25.732105
9-299,What does the earth orbit that causes the seasons to change?,"['plasma star', 'venus', 'mercury', 'pluto']","Question: What does the earth orbit that causes the seasons to change?
Choices:
A: plasma star
B: venus
C: mercury
D: pluto
Which option (A, B, C, or D) is correct?

Answer:",The earth orbits the sun. The sun is,A,False,25.604629
7-596,There are metals which will always point north such as,"['Fe', 'nickel', 'gold', 'silver']","Question: There are metals which will always point north such as
Choices:
A: Fe
B: nickel
C: gold
D: silver
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: This is not",A,True,25.134327
7-254,A white environment is likely to be found,"['in a forest', 'on a mountain', 'in a desert', 'in the ocean']","Question: A white environment is likely to be found
Choices:
A: in a forest
B: on a mountain
C: in a desert
D: in the ocean
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",B,False,25.297709
1398,One step in creating an alternative fuel is,"['coal miners looking for coal', 'gold being sifted from dirt', 'growing crops of corn', 'drilling for fossil fuels']","Question: One step in creating an alternative fuel is
Choices:
A: coal miners looking for coal
B: gold being sifted from dirt
C: growing crops of corn
D: drilling for fossil fuels
Which option (A, B, C, or D) is correct?

Answer:","C

Comment: Welcome to the",C,True,26.212095
7-810,"So many environments receive large amounts of rain, though an exception is","['the Sahara', 'the great plains', 'the rain-forest', 'Seattle']","Question: So many environments receive large amounts of rain, though an exception is
Choices:
A: the Sahara
B: the great plains
C: the rain-forest
D: Seattle
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The Sah",A,False,25.5543
7-207,Taking a fingernail and pressing it to salt will show,"['it is dry', 'it is wet', 'it is malleable', 'it is salty']","Question: Taking a fingernail and pressing it to salt will show
Choices:
A: it is dry
B: it is wet
C: it is malleable
D: it is salty
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is B.

The correct",C,False,25.682853
8-230,why would a mouse run away from a cat?,"['to get the cat some milk', 'to avoid becoming lunch', 'to avoid paying its debt', 'all of these']","Question: why would a mouse run away from a cat?
Choices:
A: to get the cat some milk
B: to avoid becoming lunch
C: to avoid paying its debt
D: all of these
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is ""B"".

The",B,False,26.117716
7-15,A golden eagle will hunt using its talons to collect,"['groupers', 'berries', 'bears', 'humans']","Question: A golden eagle will hunt using its talons to collect
Choices:
A: groupers
B: berries
C: bears
D: humans
Which option (A, B, C, or D) is correct?

Answer:","A. groupers

B. berries",A,True,25.290289
8-47,which of these would most likely reject a really nice burger?,"['a hungry student who loves burgers', 'a woman visiting a fast food joint', 'a teacher on his lunch break', 'a potted plant in the office']","Question: which of these would most likely reject a really nice burger?
Choices:
A: a hungry student who loves burgers
B: a woman visiting a fast food joint
C: a teacher on his lunch break
D: a potted plant in the office
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",D,False,26.801925
1368,The Grand Canyon was formed by the Colorado river by what?,"['horses pulling carts directing the water', 'the passage of time', 'humans making great efforts', 'the addition of dams']","Question: The Grand Canyon was formed by the Colorado river by what?
Choices:
A: horses pulling carts directing the water
B: the passage of time
C: humans making great efforts
D: the addition of dams
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: This is not",B,False,26.588022
1201,Earth rotating on its axis,"['causes stars to die out', 'causes the moon to loss gravitational pull', 'causes Orion to seemingly change position in the sky', 'causes the Sun to rotate']","Question: Earth rotating on its axis
Choices:
A: causes stars to die out
B: causes the moon to loss gravitational pull
C: causes Orion to seemingly change position in the sky
D: causes the Sun to rotate
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The Sun rot",C,False,26.27104
1372,The next moon phase after a solar eclipse is,"['first quarter', 'full moon', 'third quarter', 'super moon']","Question: The next moon phase after a solar eclipse is
Choices:
A: first quarter
B: full moon
C: third quarter
D: super moon
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The next moon",A,False,25.608938
7-623,"If someone is dying of thirst, they can hydrate by","['drink acid', 'visiting a valley', 'find snow', 'catching rain']","Question: If someone is dying of thirst, they can hydrate by
Choices:
A: drink acid
B: visiting a valley
C: find snow
D: catching rain
Which option (A, B, C, or D) is correct?

Answer:",Catching rain is the correct answer,D,False,25.888678
1691,Magnets may be attracted to,"['clay pots', 'roofing nails', 'paper plates', 'plastic cutlery']","Question: Magnets may be attracted to
Choices:
A: clay pots
B: roofing nails
C: paper plates
D: plastic cutlery
Which option (A, B, C, or D) is correct?

Answer:","A, B, C, and D are all",B,False,25.727593
164,"Of the following household items, which is recyclable?","['cooking oil', 'banana peel', 'paint', 'soda can']","Question: Of the following household items, which is recyclable?
Choices:
A: cooking oil
B: banana peel
C: paint
D: soda can
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",D,False,25.597837
79,"If a lot of people have forgotten about a product, the amount of money made by the person selling it will be","['much higher', 'unchanged', 'rising slowly', 'lower than before']","Question: If a lot of people have forgotten about a product, the amount of money made by the person selling it will be
Choices:
A: much higher
B: unchanged
C: rising slowly
D: lower than before
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The amount",D,False,26.23843
9-1159,What can you find in a forest,"['A car', 'Hogwarts', 'A unicorn', 'remedies']","Question: What can you find in a forest
Choices:
A: A car
B: Hogwarts
C: A unicorn
D: remedies
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to Stack Overflow!",D,False,25.341889
7-1166,Animals without teeth sometimes eat,"['seeds', 'bears', 'humans', 'whales']","Question: Animals without teeth sometimes eat
Choices:
A: seeds
B: bears
C: humans
D: whales
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",A,True,25.05868
7-33,What creates a valley?,"['feet', 'rock', 'water', 'sand']","Question: What creates a valley?
Choices:
A: feet
B: rock
C: water
D: sand
Which option (A, B, C, or D) is correct?

Answer:","A

\begin{blockquote}",C,False,25.000427
9-643,What is the largest organ of the human body?,"['kidneys', 'the heart', 'epidermis', 'liver']","Question: What is the largest organ of the human body?
Choices:
A: kidneys
B: the heart
C: epidermis
D: liver
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is ""A"" kidneys",C,False,25.214821
9-426,What eats other organisms?,"['trees', 'ingestors', 'blood', 'water']","Question: What eats other organisms?
Choices:
A: trees
B: ingestors
C: blood
D: water
Which option (A, B, C, or D) is correct?

Answer:","A: trees

B: ing",B,False,24.917636
85,What becomes smoother through weathering?,"['rainbow', 'water', 'cat', 'pumice']","Question: What becomes smoother through weathering?
Choices:
A: rainbow
B: water
C: cat
D: pumice
Which option (A, B, C, or D) is correct?

Answer:","A

\begin{blockquote}",D,False,25.084956
220,The element that heats toast is an example of:,"['a semi-conductor?', 'a thermal insulator', 'a poor conductor', 'a thermal conductor']","Question: The element that heats toast is an example of:
Choices:
A: a semi-conductor?
B: a thermal insulator
C: a poor conductor
D: a thermal conductor
Which option (A, B, C, or D) is correct?

Answer:",The element that heats toast is a thermal,D,False,26.27225
522,Ice can fall down as,"['sleet and hail', 'ice cubes', 'rain', 'glaciers']","Question: Ice can fall down as
Choices:
A: sleet and hail
B: ice cubes
C: rain
D: glaciers
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",A,True,25.133838
9-545,nest sitting is left up to the,"['daddy', ""the embryo's creator"", 'strangers', 'male siblings']","Question: nest sitting is left up to the
Choices:
A: daddy
B: the embryo's creator
C: strangers
D: male siblings
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The nest",B,False,25.619771
8-64,The insect's cocoon being created occurs during the,"['adult stage in a life cycle', 'egg formation in a life cycle', 'stage when wings first start to form', 'final stage in a life cycle']","Question: The insect's cocoon being created occurs during the
Choices:
A: adult stage in a life cycle
B: egg formation in a life cycle
C: stage when wings first start to form
D: final stage in a life cycle
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The insect",C,False,26.396923
9-1098,Rocks sometimes contain what?,"['element Al', 'books', 'wind', 'fire']","Question: Rocks sometimes contain what?
Choices:
A: element Al
B: books
C: wind
D: fire
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to Stack",A,False,24.628274
1105,What happens to a cat's fur in the summer?,"['The fur becomes darker', 'The fur becomes more dense', 'It becomes less dense', 'It stays the same density']","Question: What happens to a cat's fur in the summer?
Choices:
A: The fur becomes darker
B: The fur becomes more dense
C: It becomes less dense
D: It stays the same density
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The cat",C,False,25.832835
1764,After evaporation water becomes,"['ocean', 'snow', 'groundwater', 'ice caps']","Question: After evaporation water becomes
Choices:
A: ocean
B: snow
C: groundwater
D: ice caps
Which option (A, B, C, or D) is correct?

Answer:","A. ocean

B. snow",B,False,24.950947
128,A magnet will stick to which of the following?,"['indium', 'diamond', 'wood', 'hydrochloric acid']","Question: A magnet will stick to which of the following?
Choices:
A: indium
B: diamond
C: wood
D: hydrochloric acid
Which option (A, B, C, or D) is correct?

Answer:","A: indium

B:",A,True,25.257943
9-351,Hypothermia will set in under which conditions:,"['while exposed to harsh winds in a polar region', 'while stranded deep in a swap', 'while swimming in tropical seas.', 'while exposed to direct sunlight on a tropical island']","Question: Hypothermia will set in under which conditions:
Choices:
A: while exposed to harsh winds in a polar region
B: while stranded deep in a swap
C: while swimming in tropical seas.
D: while exposed to direct sunlight on a tropical island
Which option (A, B, C, or D) is correct?

Answer:","D is correct.

Hypotherm",A,False,26.994612
7-867,"A black wall reflects little light, a pink wall reflects pink light a while wall","['bounces little light', 'bounces all light', 'bounces blue light', 'bounces red light']","Question: A black wall reflects little light, a pink wall reflects pink light a while wall
Choices:
A: bounces little light
B: bounces all light
C: bounces blue light
D: bounces red light
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is A.

The black",B,False,26.814286
9-1054,Rocks may be rounded by,"['photosynthesis', 'audio feedback', 'hydro-erosion', 'Cloudy conditions']","Question: Rocks may be rounded by
Choices:
A: photosynthesis
B: audio feedback
C: hydro-erosion
D: Cloudy conditions
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to the",C,False,24.970222
9-1097,What do octopuses release to blind predators?,"['meat', 'water', 'dark pigment', 'plants']","Question: What do octopuses release to blind predators?
Choices:
A: meat
B: water
C: dark pigment
D: plants
Which option (A, B, C, or D) is correct?

Answer:","D

\begin{blockquote}",C,False,25.161767
1557,Which decreases visibility while driving?,"['opening the sunroof', 'spraying windshield fluid', 'adjusting side mirrors.', 'turning on headlights']","Question: Which decreases visibility while driving?
Choices:
A: opening the sunroof
B: spraying windshield fluid
C: adjusting side mirrors.
D: turning on headlights
Which option (A, B, C, or D) is correct?

Answer:","D.

The correct answer is D.",B,False,25.711113
9-684,What contains moons?,"['ships', 'space mass', 'people', 'plants']","Question: What contains moons?
Choices:
A: ships
B: space mass
C: people
D: plants
Which option (A, B, C, or D) is correct?

Answer:","A

\begin{blockquote}",B,False,24.513384
8-444,What would be used to measure the substance which historically the Dutch and other farmers used to power the blades on the structure which moves water from low to highlands?,"['anemometer', 'magnetometer', 'manometer', 'thermometer']","Question: What would be used to measure the substance which historically the Dutch and other farmers used to power the blades on the structure which moves water from low to highlands?
Choices:
A: anemometer
B: magnetometer
C: manometer
D: thermometer
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is magnetometer.

The",A,False,26.667719
8-456,What is it called when h20 falls from a fluffy object to land on the top of cloth suspended on a rod?,"['mechanization', 'evaporation', 'precipitation', 'transpiration']","Question: What is it called when h20 falls from a fluffy object to land on the top of cloth suspended on a rod?
Choices:
A: mechanization
B: evaporation
C: precipitation
D: transpiration
Which option (A, B, C, or D) is correct?

Answer:","D is correct.

The correct answer is",C,False,27.000932
9-798,What animal can live without oxygen,"['shark', 'Loriciferans', 'platypus', 'Turtle']","Question: What animal can live without oxygen
Choices:
A: shark
B: Loriciferans
C: platypus
D: Turtle
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to Stack",B,False,25.226181
9-571,An inherited characteristic present in a baby is,"['number of ears', 'birth date', 'birth weight', 'number of siblings']","Question: An inherited characteristic present in a baby is
Choices:
A: number of ears
B: birth date
C: birth weight
D: number of siblings
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to Stack",A,True,25.324385
8-440,"if your shoe changes form at a certain heat level, what can that be described as?","['none of these', 'the liquid content of the shoe', 'the melting range of that item', 'the visual design of the shoe']","Question: if your shoe changes form at a certain heat level, what can that be described as?
Choices:
A: none of these
B: the liquid content of the shoe
C: the melting range of that item
D: the visual design of the shoe
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The liquid",C,False,26.838413
8-326,Which would be the product of a solid that was brought above its melting point?,"['water turning into ice', 'iron turning to rust', 'tadpoles turning into frogs', 'glacier turning into water']","Question: Which would be the product of a solid that was brought above its melting point?
Choices:
A: water turning into ice
B: iron turning to rust
C: tadpoles turning into frogs
D: glacier turning into water
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to Physics",D,True,26.447302
9-800,"A beaver is going to experience a long winter in the upcoming months. The beaver knows that the weather is changing, so it begins to eat more and more food, knowing that it can survive meager months by being","['overweight', 'weighted', 'underweight', 'starved']","Question: A beaver is going to experience a long winter in the upcoming months. The beaver knows that the weather is changing, so it begins to eat more and more food, knowing that it can survive meager months by being
Choices:
A: overweight
B: weighted
C: underweight
D: starved
Which option (A, B, C, or D) is correct?

Answer:","A. overweight

B. weighted",A,True,27.561811
9-151,Lighting a candle will cause the candle to,"['combust', 'petrify', 'float', 'yell']","Question: Lighting a candle will cause the candle to
Choices:
A: combust
B: petrify
C: float
D: yell
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: I'm",A,True,25.345274
1734,Vaccines,"['are only necessary for immuno-comprised people', 'help prevent outbreaks of once dormant diseases', 'provide little protection against diseases', 'are unimportant and under researched']","Question: Vaccines
Choices:
A: are only necessary for immuno-comprised people
B: help prevent outbreaks of once dormant diseases
C: provide little protection against diseases
D: are unimportant and under researched
Which option (A, B, C, or D) is correct?

Answer:","C

Comment: Welcome to the",B,False,26.309489
1708,Jim wanted baby chickens so he gathered eggs and used a,"['lamp', 'ice cube', 'refrigerator', 'snow']","Question: Jim wanted baby chickens so he gathered eggs and used a
Choices:
A: lamp
B: ice cube
C: refrigerator
D: snow
Which option (A, B, C, or D) is correct?

Answer:","A. lamp

B. ice",A,True,25.436436
9-329,Nerves are used to feel what on the skin?,"['creativity', 'stares', 'emotions', 'coldness']","Question: Nerves are used to feel what on the skin?
Choices:
A: creativity
B: stares
C: emotions
D: coldness
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to EL",D,True,25.435741
7-556,"Substances may be combined by the pouring of one into another, for example when","['filling up a tub', 'putting a lemon in water', 'adding grenadine to soda', 'putting food in a bowl']","Question: Substances may be combined by the pouring of one into another, for example when
Choices:
A: filling up a tub
B: putting a lemon in water
C: adding grenadine to soda
D: putting food in a bowl
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",C,False,26.625542
7-535,Viewing stars is made easier by,"['technology that uses electromagnetic induction', 'technology that collects electromagnetic radiation', 'technology that picks up sound in space', 'technology that transforms kinetic energy']","Question: Viewing stars is made easier by
Choices:
A: technology that uses electromagnetic induction
B: technology that collects electromagnetic radiation
C: technology that picks up sound in space
D: technology that transforms kinetic energy
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

Comment:",B,False,26.558409
7-949,Sugar may increase the sweetness of a dish such as in,"['lasagna', 'corn', 'fettuccine', 'churros']","Question: Sugar may increase the sweetness of a dish such as in
Choices:
A: lasagna
B: corn
C: fettuccine
D: churros
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

The word ""such",D,False,25.539429
483,A person could get in trouble for doing what in a protected environment?,"['volunteering', 'hunting', 'studying the environment', 'working']","Question: A person could get in trouble for doing what in a protected environment?
Choices:
A: volunteering
B: hunting
C: studying the environment
D: working
Which option (A, B, C, or D) is correct?

Answer:","C

The correct answer is C",B,False,25.337117
8-158,"A winter storm is ravaging a city, so weather advisories are put out to the public. However, a man still need to get to work on time, so he takes his car on the highway. While driving, he discovers","['the roads are clear', 'it is difficult to see', 'the car is very hot', 'the streets are empty']","Question: A winter storm is ravaging a city, so weather advisories are put out to the public. However, a man still need to get to work on time, so he takes his car on the highway. While driving, he discovers
Choices:
A: the roads are clear
B: it is difficult to see
C: the car is very hot
D: the streets are empty
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is B.

The sentence",B,False,27.91094
1637,"The southern and northern hemisphere's seasons are opposite each other, so when the northern hemisphere is having it's longest day, it's the southern hemisphere's","['winter solstice', 'fall equinox', 'summer solstice', 'spring equinox']","Question: The southern and northern hemisphere's seasons are opposite each other, so when the northern hemisphere is having it's longest day, it's the southern hemisphere's
Choices:
A: winter solstice
B: fall equinox
C: summer solstice
D: spring equinox
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The seasons are",A,False,27.309742
855,What does photosynthesis require,"['a daffodil to absorb rays of Sol', 'a torrential amount of rainfall', 'a bee to pollinate the bud', 'a tree to absorb argon']","Question: What does photosynthesis require
Choices:
A: a daffodil to absorb rays of Sol
B: a torrential amount of rainfall
C: a bee to pollinate the bud
D: a tree to absorb argon
Which option (A, B, C, or D) is correct?

Answer:",A. A daffodil to absorb,A,True,26.993636
9-250,which of these would disturb a standing body of water?,"['a boat setting sail', 'an insect flying hundred feet above', 'a rock tossed in', 'A and B above']","Question: which of these would disturb a standing body of water?
Choices:
A: a boat setting sail
B: an insect flying hundred feet above
C: a rock tossed in
D: A and B above
Which option (A, B, C, or D) is correct?

Answer:",C. A rock tossed in,D,False,25.941889
790,There are twenty-four new seasons in,"['six years', 'four years', 'five years', 'two years']","Question: There are twenty-four new seasons in
Choices:
A: six years
B: four years
C: five years
D: two years
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to M",A,True,25.076038
9-143,"We are trying to use air as sources of energy because there is an infinite amount of it, same with water. These are two examples of","['Coal sources', 'Fossil Fuels', 'Limited resources', 'Renewable resources']","Question: We are trying to use air as sources of energy because there is an infinite amount of it, same with water. These are two examples of
Choices:
A: Coal sources
B: Fossil Fuels
C: Limited resources
D: Renewable resources
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The reason is",D,False,26.78447
1348,Which is recyclable,"['fiberglass', 'soda can', 'Styrofoam food container', 'motor oil']","Question: Which is recyclable
Choices:
A: fiberglass
B: soda can
C: Styrofoam food container
D: motor oil
Which option (A, B, C, or D) is correct?

Answer:","A

B

C",B,False,26.815588
941,"If two blocks have unequal mass, which will speed up the most with a common force applied","['neither move', 'The heavier', 'equal', 'The lighter']","Question: If two blocks have unequal mass, which will speed up the most with a common force applied
Choices:
A: neither move
B: The heavier
C: equal
D: The lighter
Which option (A, B, C, or D) is correct?

Answer:","The answer is B.

The heavier",D,False,26.388982
7-957,Sea turtles share space with,"['geckos', 'catfish', 'sea weed', 'river otters']","Question: Sea turtles share space with
Choices:
A: geckos
B: catfish
C: sea weed
D: river otters
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",C,False,25.355722
9-838,More sunlight will be absorbed by,"['a rose with tiny leaves', 'a daisy with thin, short leaves', 'a peony with wide, smooth leaves', 'a daffodil with curled leaves']","Question: More sunlight will be absorbed by
Choices:
A: a rose with tiny leaves
B: a daisy with thin, short leaves
C: a peony with wide, smooth leaves
D: a daffodil with curled leaves
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The leaves",C,False,26.647247
8-12,"Some fish species, when hunting, will lurk in the shallowest portions of water and actually leave the water in order to capture prey. These fish are able to hunt in this fashion after years of","['training in a school', 'adapting to their needs', 'adapting to new music', 'wishing for it to work']","Question: Some fish species, when hunting, will lurk in the shallowest portions of water and actually leave the water in order to capture prey. These fish are able to hunt in this fashion after years of
Choices:
A: training in a school
B: adapting to their needs
C: adapting to new music
D: wishing for it to work
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is ""A"".

The",B,False,28.365872
8-198,"if a person had one of these, they could live permanently under water","['a very long nose', 'two hands and two legs', 'a very big mouth', 'a gill for extracting gases']","Question: if a person had one of these, they could live permanently under water
Choices:
A: a very long nose
B: two hands and two legs
C: a very big mouth
D: a gill for extracting gases
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",D,False,26.432448
1578,Storms lead to,"['an increase in water temperature', 'an uptick in local ponds fish supply', 'an increase in issues from drought conditions', 'an uptick in local ponds water level']","Question: Storms lead to
Choices:
A: an increase in water temperature
B: an uptick in local ponds fish supply
C: an increase in issues from drought conditions
D: an uptick in local ponds water level
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",D,False,26.745029
6,What is the ultimate source of greeting cards?,"['deserts', 'waterfalls', 'forests', 'canyons']","Question: What is the ultimate source of greeting cards?
Choices:
A: deserts
B: waterfalls
C: forests
D: canyons
Which option (A, B, C, or D) is correct?

Answer:","C

The correct answer is C",C,True,25.250766
9-1002,Which animal is known to have many learned behaviors?,"['sea park dolphins', 'saltwater crocodiles', 'aquarium fish', 'plains buffaloes']","Question: Which animal is known to have many learned behaviors?
Choices:
A: sea park dolphins
B: saltwater crocodiles
C: aquarium fish
D: plains buffaloes
Which option (A, B, C, or D) is correct?

Answer:","D

\begin{blockquote}",A,False,25.730447
9-1004,The stars in the night sky make a yearly,"['donation', 'resolve', 'restructuring', 'revolution']","Question: The stars in the night sky make a yearly
Choices:
A: donation
B: resolve
C: restructuring
D: revolution
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to EL",D,False,25.057626
7-305,A predator such as a hawk may kill prey by,"['batting with a paw', 'clutching in its talons', 'using a strong wing', ""eating a rat's claw""]","Question: A predator such as a hawk may kill prey by
Choices:
A: batting with a paw
B: clutching in its talons
C: using a strong wing
D: eating a rat's claw
Which option (A, B, C, or D) is correct?

Answer:",A. batting with a paw,B,False,26.424065
9-211,"What is it called when a cell converts oxygen and carbohydrates into carbon dioxide, water, and energy?","['adaptation', 'breathing', 'food transformation', 'catabolic reactions']","Question: What is it called when a cell converts oxygen and carbohydrates into carbon dioxide, water, and energy?
Choices:
A: adaptation
B: breathing
C: food transformation
D: catabolic reactions
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is ""breathing"".",D,False,26.338418
9-4,A plant stem contains a system of tubes for transporting water and nutrients to,"['the sun', 'the hive mind', 'its neighbors', 'itself']","Question: A plant stem contains a system of tubes for transporting water and nutrients to
Choices:
A: the sun
B: the hive mind
C: its neighbors
D: itself
Which option (A, B, C, or D) is correct?

Answer:","D.

The plant stem contains a system",D,True,25.729264
